window,window_role,feature_family,outcome,outcome_role,group_label,pre_rows,pre_weight,pre_rate,pre_event_weight,unwinding_rows,unwinding_weight,unwinding_rate,unwinding_event_weight,pre_rank_high,unwinding_rank_high,rank_delta,rate_change
mature_jun_oct_2023,sensitivity,age_band,persistent_uninsured_h2,primary_harm,age_18_25,8406,79325498.3765056,0.00235616,186903.7901109,3859,42270962.8606338,0.00655124,276927.1178149,1,1,0.0,0.00419507
mature_jun_oct_2023,sensitivity,age_band,persistent_uninsured_h2,primary_harm,age_26_44,15431,147490185.6960981,0.00196839,290318.5690498,6843,70487325.99970855,0.00294228,207393.545951,2,3,1.0,0.00097389
mature_jun_oct_2023,sensitivity,age_band,persistent_uninsured_h2,primary_harm,age_45_64,14642,118033360.7513512,0.0005349,63136.5000304,7014,61723928.2270369,0.00259728,160314.5476332,4,4,0.0,0.00206238
mature_jun_oct_2023,sensitivity,age_band,persistent_uninsured_h2,primary_harm,age_65_plus,10775,61917743.37063593,0.0,0.0,5449,34762278.952402,0.00023301,8099.8258162,5,5,0.0,0.00023301
mature_jun_oct_2023,sensitivity,age_band,broad_exit_persistent_uninsured_h2,primary_harm,age_0_17,30750,283823348.2994855,0.00138352,392674.500152,13221,137524458.8419831,0.00369981,508814.6330931,3,2,-1.0,0.00231629
mature_jun_oct_2023,sensitivity,age_band,broad_exit_persistent_uninsured_h2,primary_harm,age_18_25,8406,79325498.3765056,0.00235616,186903.7901109,3859,42270962.8606338,0.00680116,287491.5376159,1,1,0.0,0.004445
mature_jun_oct_2023,sensitivity,age_band,broad_exit_persistent_uninsured_h2,primary_harm,age_26_44,15431,147490185.6960981,0.00196839,290318.5690498,6843,70487325.99970855,0.00294228,207393.545951,2,3,1.0,0.00097389
mature_jun_oct_2023,sensitivity,age_band,broad_exit_persistent_uninsured_h2,primary_harm,age_45_64,14642,118033360.7513512,0.0005349,63136.5000304,7014,61723928.2270369,0.00259728,160314.5476332,4,4,0.0,0.00206238
mature_jun_oct_2023,sensitivity,age_band,broad_exit_persistent_uninsured_h2,primary_harm,age_65_plus,10775,61917743.37063593,0.0,0.0,5449,34762278.952402,0.00023301,8099.8258162,5,5,0.0,0.00023301
mature_jun_oct_2023,sensitivity,age_band,broad_exit_resolved_insured_h2,contrast_resolution,age_0_17,30750,283823348.2994855,0.00138507,393116.302226,13221,137524458.8419831,0.00402166,553076.6463005,4,4,0.0,0.00263659
mature_jun_oct_2023,sensitivity,age_band,broad_exit_resolved_insured_h2,contrast_resolution,age_18_25,8406,79325498.3765056,0.00241793,191803.1376272,3859,42270962.8606338,0.00628475,265662.3187848,2,1,-1.0,0.00386682
mature_jun_oct_2023,sensitivity,age_band,broad_exit_resolved_insured_h2,contrast_resolution,age_26_44,15431,147490185.6960981,0.0025774,380140.5336002,6843,70487325.99970855,0.00491136,346188.7099153,1,2,1.0,0.00233397
mature_jun_oct_2023,sensitivity,age_band,broad_exit_resolved_insured_h2,contrast_resolution,age_45_64,14642,118033360.7513512,0.00180319,212836.2452034,7014,61723928.2270369,0.00343967,212310.1377428,3,5,2.0,0.00163649
mature_jun_oct_2023,sensitivity,age_band,broad_exit_resolved_insured_h2,contrast_resolution,age_65_plus,10775,61917743.37063593,0.00129768,80349.4730955,5449,34762278.952402,0.00452869,157427.5925711,5,3,-2.0,0.00323101
mature_jun_oct_2023,sensitivity,age_band,medicaid_exit_to_uninsured_next,benchmark_harm,age_0_17,30793,284402630.2601478,0.00143364,407730.2692981,13243,137761671.1524408,0.00400311,551474.7288991,3,2,-1.0,0.00256947
mature_jun_oct_2023,sensitivity,age_band,medicaid_exit_to_uninsured_next,benchmark_harm,age_18_25,8453,79889295.96660839,0.00233953,186903.7901109,3887,42821986.4390197,0.00646694,276927.1178149,1,1,0.0,0.0041274
mature_jun_oct_2023,sensitivity,age_band,medicaid_exit_to_uninsured_next,benchmark_harm,age_26_44,15461,147806820.78172788,0.00198635,293596.235063,6860,70686690.66294284,0.00339981,240321.387669,2,3,1.0,0.00141346
mature_jun_oct_2023,sensitivity,age_band,medicaid_exit_to_uninsured_next,benchmark_harm,age_45_64,14656,118195244.0136767,0.00053417,63136.5000304,7026,61810755.9210732,0.00259364,160314.5476332,4,4,0.0,0.00205946
mature_jun_oct_2023,sensitivity,age_band,medicaid_exit_to_uninsured_next,benchmark_harm,age_65_plus,10800,62092398.87850583,0.0,0.0,5461,34848859.3264929,0.00023243,8099.8258162,5,5,0.0,0.00023243
mature_jun_oct_2023,sensitivity,female_group,persistent_uninsured_h2,primary_harm,female,45023,380688506.3770592,0.00163214,621338.3033538,20208,189112820.6644728,0.00299164,565756.5902765,1,2,1.0,0.00135949
mature_jun_oct_2023,sensitivity,female_group,persistent_uninsured_h2,primary_harm,male,34981,309901630.11701715,0.00100579,311695.0559893,16178,157656134.2172915,0.00377907,595793.0800319,2,1,-1.0,0.00277328
mature_jun_oct_2023,sensitivity,female_group,broad_exit_persistent_uninsured_h2,primary_harm,female,45023,380688506.3770592,0.00163214,621338.3033538,20208,189112820.6644728,0.0030475,576321.0100775,1,2,1.0,0.00141535
mature_jun_oct_2023,sensitivity,female_group,broad_exit_persistent_uninsured_h2,primary_harm,male,34981,309901630.11701715,0.00100579,311695.0559893,16178,157656134.2172915,0.00377907,595793.0800319,2,1,-1.0,0.00277328
mature_jun_oct_2023,sensitivity,female_group,broad_exit_resolved_insured_h2,contrast_resolution,female,45023,380688506.3770592,0.00154658,588765.6648764,20208,189112820.6644728,0.00435228,823072.8678366,2,2,0.0,0.0028057
mature_jun_oct_2023,sensitivity,female_group,broad_exit_resolved_insured_h2,contrast_resolution,male,34981,309901630.11701715,0.0021603,669480.0268759,16178,157656134.2172915,0.00451357,711592.5374779,1,1,0.0,0.00235327
mature_jun_oct_2023,sensitivity,female_group,medicaid_exit_to_uninsured_next,benchmark_harm,female,45108,381660989.36820906,0.00163657,624615.969367,20254,189620815.8369753,0.00307045,582220.5111355,1,2,1.0,0.00143387
mature_jun_oct_2023,sensitivity,female_group,medicaid_exit_to_uninsured_next,benchmark_harm,male,35055,310725400.53245765,0.00105157,326750.8251354,16223,158309147.6649941,0.00413695,654917.0966969,2,1,-1.0,0.00308538
mature_jun_oct_2023,sensitivity,foreign_born_group,persistent_uninsured_h2,primary_harm,foreign_born,12745,101120462.56440727,0.00106607,107801.4451948,6465,56350562.93779819,0.00196684,110832.3844444,2,2,0.0,0.00090077
mature_jun_oct_2023,sensitivity,foreign_born_group,persistent_uninsured_h2,primary_harm,us_born,67259,589469673.929669,0.00139996,825231.9141483,29921,290418391.94396615,0.00361794,1050717.285864,1,1,0.0,0.00221799
mature_jun_oct_2023,sensitivity,foreign_born_group,broad_exit_persistent_uninsured_h2,primary_harm,foreign_born,12745,101120462.56440727,0.00106607,107801.4451948,6465,56350562.93779819,0.00196684,110832.3844444,2,2,0.0,0.00090077
mature_jun_oct_2023,sensitivity,foreign_born_group,broad_exit_persistent_uninsured_h2,primary_harm,us_born,67259,589469673.929669,0.00139996,825231.9141483,29921,290418391.94396615,0.00365432,1061281.705665,1,1,0.0,0.00225436
mature_jun_oct_2023,sensitivity,foreign_born_group,broad_exit_resolved_insured_h2,contrast_resolution,foreign_born,12745,101120462.56440727,0.00111264,112511.1260992,6465,56350562.93779819,0.00329364,185598.5335285,2,2,0.0,0.002181
mature_jun_oct_2023,sensitivity,foreign_born_group,broad_exit_resolved_insured_h2,contrast_resolution,us_born,67259,589469673.929669,0.00194367,1145734.5656531,29921,290418391.94396615,0.00464525,1349066.871786,1,1,0.0,0.00270158
mature_jun_oct_2023,sensitivity,foreign_born_group,medicaid_exit_to_uninsured_next,benchmark_harm,foreign_born,12773,101394057.07002278,0.00106319,107801.4451948,6476,56465269.075121,0.00196284,110832.3844444,2,2,0.0,0.00089965
mature_jun_oct_2023,sensitivity,foreign_born_group,medicaid_exit_to_uninsured_next,benchmark_harm,us_born,67390,590992332.8306439,0.00142737,843565.3493076,30001,291464694.4268484,0.00386429,1126305.223388,1,1,0.0,0.00243692
mature_jun_oct_2023,sensitivity,household_child_group,persistent_uninsured_h2,primary_harm,household_has_child,49949,453145270.8264668,0.00133484,604877.7207193,21647,220215683.318797,0.00360575,794042.4975802,2,1,-1.0,0.00227091
mature_jun_oct_2023,sensitivity,household_child_group,persistent_uninsured_h2,primary_harm,household_no_child,30055,237444865.6676095,0.00138203,328155.6386238,14739,126553271.56296735,0.00290397,367507.1727282,1,2,1.0,0.00152194
mature_jun_oct_2023,sensitivity,household_child_group,broad_exit_persistent_uninsured_h2,primary_harm,household_has_child,49949,453145270.8264668,0.00133484,604877.7207193,21647,220215683.318797,0.00365372,804606.9173812,2,1,-1.0,0.00231888
