TEHC_ST,MONTHCODE,n_lag_medicaid,medicaid_exit_rate,exit_to_uninsured_rate,valid_cell_30,valid_cell_50
29,6,108,0.009259259259259259,0.009259259259259259,True,True
29,7,107,0.0,0.0,True,True
29,8,106,0.0,0.0,True,True
29,9,105,0.0,0.0,True,True
29,10,105,0.0,0.0,True,True
29,11,102,0.0,0.0,True,True
29,12,102,0.0,0.0,True,True
30,2,35,0.0,0.0,True,False
30,3,37,0.0,0.0,True,False
30,4,37,0.0,0.0,True,False
30,5,36,0.0,0.0,True,False
30,6,37,0.0,0.0,True,False
30,7,37,0.02702702702702703,0.02702702702702703,True,False
30,8,36,0.0,0.0,True,False
30,9,36,0.05555555555555555,0.05555555555555555,True,False
30,10,35,0.0,0.0,True,False
30,11,35,0.0,0.0,True,False
30,12,34,0.029411764705882353,0.0,True,False
31,2,13,0.0,0.0,False,False
31,3,13,0.0,0.0,False,False
31,4,13,0.0,0.0,False,False
31,5,13,0.0,0.0,False,False
31,6,13,0.0,0.0,False,False
31,7,13,0.0,0.0,False,False
31,8,13,0.0,0.0,False,False
31,9,13,0.0,0.0,False,False
31,10,13,0.0,0.0,False,False
31,11,13,0.0,0.0,False,False
31,12,17,0.0,0.0,False,False
32,2,52,0.0,0.0,True,True
32,3,52,0.0,0.0,True,True
32,4,53,0.0,0.0,True,True
32,5,53,0.0,0.0,True,True
32,6,51,0.0,0.0,True,True
32,7,53,0.0,0.0,True,True
32,8,53,0.018867924528301886,0.0,True,True
32,9,52,0.019230769230769232,0.0,True,True
32,10,51,0.0,0.0,True,True
32,11,51,0.0,0.0,True,True
32,12,51,0.0196078431372549,0.0196078431372549,True,True
33,2,10,0.0,0.0,False,False
33,3,10,0.0,0.0,False,False
33,4,10,0.0,0.0,False,False
33,5,10,0.2,0.0,False,False
33,6,8,0.125,0.0,False,False
33,7,7,0.0,0.0,False,False
33,8,7,0.0,0.0,False,False
33,9,7,0.0,0.0,False,False
33,10,7,0.0,0.0,False,False
33,11,7,0.0,0.0,False,False
33,12,7,0.0,0.0,False,False
34,2,143,0.013986013986013986,0.0,True,True
34,3,141,0.0070921985815602835,0.0,True,True
34,4,143,0.0,0.0,True,True
34,5,140,0.0,0.0,True,True
34,6,141,0.0,0.0,True,True
34,7,141,0.0070921985815602835,0.0,True,True
34,8,140,0.0,0.0,True,True
34,9,140,0.007142857142857143,0.0,True,True
34,10,143,0.006993006993006993,0.0,True,True
34,11,143,0.006993006993006993,0.006993006993006993,True,True
34,12,142,0.0,0.0,True,True
35,2,59,0.0,0.0,True,True
35,3,59,0.0,0.0,True,True
35,4,61,0.0,0.0,True,True
35,5,61,0.01639344262295082,0.0,True,True
35,6,60,0.016666666666666666,0.0,True,True
35,7,59,0.0,0.0,True,True
35,8,59,0.01694915254237288,0.01694915254237288,True,True
35,9,58,0.017241379310344827,0.0,True,True
35,10,56,0.0,0.0,True,True
35,11,56,0.03571428571428571,0.0,True,True
35,12,54,0.0,0.0,True,True
36,2,552,0.012681159420289856,0.0018115942028985507,True,True
36,3,548,0.0036496350364963502,0.0,True,True
36,4,547,0.0018281535648994515,0.0018281535648994515,True,True
36,5,545,0.003669724770642202,0.001834862385321101,True,True
36,6,543,0.007366482504604052,0.0,True,True
36,7,541,0.012939001848428836,0.0036968576709796672,True,True
36,8,536,0.005597014925373134,0.0,True,True
36,9,533,0.00375234521575985,0.0,True,True
36,10,534,0.0018726591760299626,0.0,True,True
36,11,534,0.0056179775280898875,0.003745318352059925,True,True
36,12,530,0.0037735849056603774,0.0018867924528301887,True,True
37,2,169,0.0,0.0,True,True
37,3,173,0.005780346820809248,0.005780346820809248,True,True
37,4,172,0.005813953488372093,0.0,True,True
37,5,174,0.005747126436781609,0.0,True,True
37,6,175,0.017142857142857144,0.017142857142857144,True,True
