state,county_fips,county_name,rows,years_present,min_year,max_year,total_enrollment,min_enrollment,table1_missing_years,treatment_constructible_years,suppression_or_missing_any,drake_supplement_exclusion_flag,drake_supplement_exclusion_reason,included_drake_harmonized_sample,missing_crosswalk_flag_any,missing_current_plan_flag_any,missing_premium_flag_any,missing_county_mapping_flag_any,all_three_years,table1_complete_all_years,treatment_constructible_all_years,low_enrollment_rank,candidate_extra_if_forcing_to_2159_by_low_enrollment,candidate_discrepancy_reason
AR,05013,,3,3,2022,2024,612.0,122.0,1,3,True,False,,True,False,False,False,False,True,False,True,158,False,missing_or_suppressed_table1_outcome
AR,05015,,3,3,2022,2024,4305.0,1187.0,0,3,False,False,,True,False,False,False,False,True,True,True,1236,False,included_by_current_sample_rule
AR,05017,,3,3,2022,2024,981.0,218.0,0,3,False,False,,True,False,False,False,False,True,True,True,318,False,included_by_current_sample_rule
AR,05019,,3,3,2022,2024,2355.0,565.0,0,3,False,False,,True,False,False,False,False,True,True,True,816,False,included_by_current_sample_rule
AR,05021,,3,3,2022,2024,1750.0,419.0,0,3,False,False,,True,False,False,False,False,True,True,True,640,False,included_by_current_sample_rule
AR,05023,,3,3,2022,2024,3856.0,967.0,0,3,False,False,,True,False,False,False,False,True,True,True,1157,False,included_by_current_sample_rule
AR,05025,,3,3,2022,2024,1045.0,206.0,0,3,False,False,,True,False,False,False,False,True,True,True,347,False,included_by_current_sample_rule
AR,05027,,3,3,2022,2024,2585.0,639.0,0,3,False,False,,True,False,False,False,False,True,True,True,884,False,included_by_current_sample_rule
AR,05029,,3,3,2022,2024,2509.0,586.0,0,3,False,False,,True,False,False,False,False,True,True,True,858,False,included_by_current_sample_rule
AR,05031,,3,3,2022,2024,12728.0,3196.0,0,3,False,False,,True,False,False,False,False,True,True,True,1771,False,included_by_current_sample_rule
AR,05033,,3,3,2022,2024,6556.0,1682.0,0,3,False,False,,True,False,False,False,False,True,True,True,1464,False,included_by_current_sample_rule
AR,05035,,3,3,2022,2024,5219.0,1084.0,0,3,False,False,,True,False,False,False,False,True,True,True,1361,False,included_by_current_sample_rule
AR,05037,,3,3,2022,2024,2071.0,468.0,0,3,False,False,,True,False,False,False,False,True,True,True,736,False,included_by_current_sample_rule
AR,05039,,3,3,2022,2024,562.0,139.0,0,3,False,False,,True,False,False,False,False,True,True,True,135,False,included_by_current_sample_rule
AR,05041,,3,3,2022,2024,1417.0,318.0,0,3,False,False,,True,False,False,False,False,True,True,True,511,False,included_by_current_sample_rule
