year,state,rank,issuer_concept,variant_name,current_plan_lookup_rule,failure_reason_if_not_turnover,plan_pair_rows
2023.0,UT,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,2
2023.0,UT,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,7
2023.0,UT,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,4
2023.0,UT,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,prior_not_zero,1
2023.0,UT,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,17
2023.0,VA,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,17
2023.0,VA,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,28
2023.0,VA,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,88
2023.0,VA,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,16
2023.0,VA,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,6
2023.0,VA,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,111
2023.0,WI,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,6
2023.0,WI,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,44
2023.0,WI,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,22
2023.0,WI,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,4
2023.0,WI,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,42
2023.0,WI,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,26
2023.0,WV,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,12
2023.0,WV,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,6
2023.0,WV,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,prior_not_zero,28
2023.0,WV,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,9
2023.0,WV,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,55
2023.0,WY,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,22
2023.0,WY,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,1
2023.0,WY,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,23
2024.0,AK,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,30
2024.0,AK,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,30
2024.0,AL,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,17
2024.0,AL,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,50
2024.0,AL,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,14
2024.0,AL,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,53
2024.0,AR,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,75
2024.0,AR,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,75
2024.0,AZ,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,8
2024.0,AZ,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,7
2024.0,AZ,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,3
2024.0,AZ,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,12
2024.0,DE,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,3
2024.0,DE,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,3
2024.0,FL,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,22
2024.0,FL,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,45
2024.0,FL,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,11
2024.0,FL,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,20
2024.0,FL,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,36
2024.0,GA,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,66
2024.0,GA,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,79
2024.0,GA,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,38
2024.0,GA,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,110
2024.0,HI,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,5
2024.0,HI,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,5
