scope,breakdown_type,transition,state,year,entity_field,entity_id,failure_type,rows,failures,failure_rate,enrollment_in_failed_rows
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,TX,2022,,,missing_current_plan_flag,254,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,TX,2022,,,missing_premium_flag,254,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,TX,2022,,,missing_county_mapping_flag,254,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,UT,2022,,,missing_previous_plan_flag,29,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,UT,2022,,,missing_crosswalk_flag,29,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,UT,2022,,,missing_current_plan_flag,29,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,UT,2022,,,missing_premium_flag,29,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,UT,2022,,,missing_county_mapping_flag,29,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,WI,2022,,,missing_previous_plan_flag,72,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,WI,2022,,,missing_crosswalk_flag,72,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,WI,2022,,,missing_current_plan_flag,72,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,WI,2022,,,missing_premium_flag,72,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,WI,2022,,,missing_county_mapping_flag,72,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,WV,2022,,,missing_previous_plan_flag,55,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,WV,2022,,,missing_crosswalk_flag,55,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,WV,2022,,,missing_current_plan_flag,55,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,WV,2022,,,missing_premium_flag,55,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,WV,2022,,,missing_county_mapping_flag,55,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,WY,2022,,,missing_previous_plan_flag,23,0,0.0,0.0
