top_two_selection_variant,exposure_universe,default_mapping_rule,premium_variant,issuer_concept,year,state,county_years,any_turnover_county_years,across_issuer_turnover_county_years,within_issuer_turnover_county_years,enrollment,any_enrollment_weighted_exposure,across_enrollment_weighted_exposure
all_tied_lowest_or_second_lowest,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2023,WI,72,40,0,40,221128.0,0.6753916283781339,0.0
all_tied_lowest_or_second_lowest,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2023,WV,55,21,0,21,28325.0,0.4176522506619594,0.0
all_tied_lowest_or_second_lowest,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2023,WY,23,23,0,23,38565.0,1.0,0.0
all_tied_lowest_or_second_lowest,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2024,AL,67,53,0,53,386195.0,0.7915949196649361,0.0
all_tied_lowest_or_second_lowest,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2024,AR,75,0,0,0,156607.0,0.0,0.0
all_tied_lowest_or_second_lowest,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2024,AZ,15,12,0,12,348055.0,0.9818649351395613,0.0
all_tied_lowest_or_second_lowest,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2024,DE,3,3,0,3,44842.0,1.0,0.0
all_tied_lowest_or_second_lowest,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2024,FL,67,52,4,52,4211902.0,0.9270830612868011,0.09520140782003
all_tied_lowest_or_second_lowest,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2024,GA,145,110,0,110,1160349.0,0.9049251561383688,0.0
all_tied_lowest_or_second_lowest,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2024,IA,99,63,0,63,111423.0,0.7065148129201332,0.0
all_tied_lowest_or_second_lowest,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2024,IL,102,0,0,0,398814.0,0.0,0.0
all_tied_lowest_or_second_lowest,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2024,IN,92,71,6,65,295772.0,0.8201486279972411,0.020505659764954085
all_tied_lowest_or_second_lowest,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2024,KS,105,60,0,60,171376.0,0.5709317524040706,0.0
all_tied_lowest_or_second_lowest,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2024,LA,64,14,0,14,212493.0,0.554550032236356,0.0
all_tied_lowest_or_second_lowest,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2024,MI,83,32,0,32,418100.0,0.5305285816790242,0.0
all_tied_lowest_or_second_lowest,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2024,MO,115,40,0,40,359369.0,0.39455267427073565,0.0
all_tied_lowest_or_second_lowest,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2024,MS,82,82,0,82,286410.0,1.0,0.0
