scope,current_mapped_plan_rows,year,found_in_silver_panel,missing_from_silver_but_found_all_metal,missing_from_both,found_non_silver_in_all_metal,rank,state
state_year_rank,99,2023.0,99,0,0,0,lowest,IA
state_year_rank,99,2023.0,99,0,0,0,second_lowest,IA
state_year_rank,102,2023.0,102,0,0,0,lowest,IL
state_year_rank,102,2023.0,102,0,0,0,second_lowest,IL
state_year_rank,92,2023.0,92,0,0,0,lowest,IN
state_year_rank,92,2023.0,92,0,0,0,second_lowest,IN
state_year_rank,105,2023.0,105,0,0,0,lowest,KS
state_year_rank,105,2023.0,105,0,0,0,second_lowest,KS
state_year_rank,64,2023.0,64,0,0,0,lowest,LA
state_year_rank,64,2023.0,64,0,0,0,second_lowest,LA
state_year_rank,83,2023.0,83,0,0,0,lowest,MI
state_year_rank,83,2023.0,83,0,0,0,second_lowest,MI
state_year_rank,115,2023.0,115,0,0,0,lowest,MO
state_year_rank,115,2023.0,115,0,0,0,second_lowest,MO
state_year_rank,82,2023.0,82,0,0,0,lowest,MS
state_year_rank,82,2023.0,82,0,0,0,second_lowest,MS
state_year_rank,56,2023.0,56,0,0,0,lowest,MT
state_year_rank,56,2023.0,56,0,0,0,second_lowest,MT
state_year_rank,100,2023.0,100,0,0,0,lowest,NC
state_year_rank,100,2023.0,100,0,0,0,second_lowest,NC
state_year_rank,53,2023.0,53,0,0,0,lowest,ND
state_year_rank,53,2023.0,53,0,0,0,second_lowest,ND
state_year_rank,93,2023.0,93,0,0,0,lowest,NE
state_year_rank,93,2023.0,93,0,0,0,second_lowest,NE
state_year_rank,10,2023.0,10,0,0,0,lowest,NH
state_year_rank,10,2023.0,10,0,0,0,second_lowest,NH
state_year_rank,88,2023.0,88,0,0,0,lowest,OH
state_year_rank,88,2023.0,88,0,0,0,second_lowest,OH
state_year_rank,77,2023.0,77,0,0,0,lowest,OK
state_year_rank,77,2023.0,77,0,0,0,second_lowest,OK
state_year_rank,36,2023.0,36,0,0,0,lowest,OR
state_year_rank,36,2023.0,36,0,0,0,second_lowest,OR
state_year_rank,46,2023.0,46,0,0,0,lowest,SC
state_year_rank,46,2023.0,46,0,0,0,second_lowest,SC
state_year_rank,66,2023.0,66,0,0,0,lowest,SD
state_year_rank,66,2023.0,66,0,0,0,second_lowest,SD
state_year_rank,95,2023.0,95,0,0,0,lowest,TN
state_year_rank,95,2023.0,95,0,0,0,second_lowest,TN
state_year_rank,254,2023.0,254,0,0,0,lowest,TX
state_year_rank,254,2023.0,254,0,0,0,second_lowest,TX
state_year_rank,29,2023.0,29,0,0,0,lowest,UT
state_year_rank,29,2023.0,29,0,0,0,second_lowest,UT
state_year_rank,133,2023.0,133,0,0,0,lowest,VA
state_year_rank,133,2023.0,133,0,0,0,second_lowest,VA
state_year_rank,72,2023.0,72,0,0,0,lowest,WI
state_year_rank,72,2023.0,72,0,0,0,second_lowest,WI
state_year_rank,55,2023.0,55,0,0,0,lowest,WV
state_year_rank,55,2023.0,55,0,0,0,second_lowest,WV
state_year_rank,23,2023.0,23,0,0,0,lowest,WY
state_year_rank,23,2023.0,23,0,0,0,second_lowest,WY
state_year_rank,30,2024.0,30,0,0,0,lowest,AK
state_year_rank,30,2024.0,30,0,0,0,second_lowest,AK
state_year_rank,67,2024.0,67,0,0,0,lowest,AL
state_year_rank,67,2024.0,67,0,0,0,second_lowest,AL
state_year_rank,75,2024.0,75,0,0,0,lowest,AR
state_year_rank,75,2024.0,75,0,0,0,second_lowest,AR
state_year_rank,15,2024.0,15,0,0,0,lowest,AZ
state_year_rank,15,2024.0,15,0,0,0,second_lowest,AZ
state_year_rank,3,2024.0,3,0,0,0,lowest,DE
state_year_rank,3,2024.0,3,0,0,0,second_lowest,DE
state_year_rank,67,2024.0,67,0,0,0,lowest,FL
state_year_rank,67,2024.0,67,0,0,0,second_lowest,FL
state_year_rank,145,2024.0,145,0,0,0,lowest,GA
state_year_rank,148,2024.0,148,0,0,0,second_lowest,GA
state_year_rank,5,2024.0,5,0,0,0,lowest,HI
state_year_rank,5,2024.0,5,0,0,0,second_lowest,HI
state_year_rank,99,2024.0,99,0,0,0,lowest,IA
state_year_rank,99,2024.0,99,0,0,0,second_lowest,IA
state_year_rank,102,2024.0,102,0,0,0,lowest,IL
state_year_rank,102,2024.0,102,0,0,0,second_lowest,IL
state_year_rank,92,2024.0,92,0,0,0,lowest,IN
state_year_rank,92,2024.0,92,0,0,0,second_lowest,IN
state_year_rank,105,2024.0,105,0,0,0,lowest,KS
state_year_rank,105,2024.0,105,0,0,0,second_lowest,KS
state_year_rank,64,2024.0,64,0,0,0,lowest,LA
state_year_rank,64,2024.0,64,0,0,0,second_lowest,LA
state_year_rank,83,2024.0,83,0,0,0,lowest,MI
state_year_rank,83,2024.0,83,0,0,0,second_lowest,MI
state_year_rank,115,2024.0,115,0,0,0,lowest,MO
state_year_rank,115,2024.0,115,0,0,0,second_lowest,MO
state_year_rank,82,2024.0,82,0,0,0,lowest,MS
state_year_rank,82,2024.0,82,0,0,0,second_lowest,MS
state_year_rank,56,2024.0,56,0,0,0,lowest,MT
state_year_rank,56,2024.0,56,0,0,0,second_lowest,MT
state_year_rank,86,2024.0,86,0,0,0,lowest,NC
state_year_rank,85,2024.0,85,0,0,0,second_lowest,NC
state_year_rank,53,2024.0,53,0,0,0,lowest,ND
state_year_rank,53,2024.0,53,0,0,0,second_lowest,ND
state_year_rank,93,2024.0,93,0,0,0,lowest,NE
state_year_rank,93,2024.0,93,0,0,0,second_lowest,NE
state_year_rank,10,2024.0,10,0,0,0,lowest,NH
state_year_rank,10,2024.0,10,0,0,0,second_lowest,NH
state_year_rank,88,2024.0,88,0,0,0,lowest,OH
state_year_rank,88,2024.0,88,0,0,0,second_lowest,OH
state_year_rank,77,2024.0,77,0,0,0,lowest,OK
state_year_rank,77,2024.0,77,0,0,0,second_lowest,OK
state_year_rank,36,2024.0,36,0,0,0,lowest,OR
state_year_rank,36,2024.0,36,0,0,0,second_lowest,OR
state_year_rank,46,2024.0,46,0,0,0,lowest,SC
state_year_rank,46,2024.0,46,0,0,0,second_lowest,SC
state_year_rank,66,2024.0,66,0,0,0,lowest,SD
state_year_rank,66,2024.0,66,0,0,0,second_lowest,SD
state_year_rank,95,2024.0,95,0,0,0,lowest,TN
state_year_rank,95,2024.0,95,0,0,0,second_lowest,TN
state_year_rank,254,2024.0,254,0,0,0,lowest,TX
state_year_rank,254,2024.0,254,0,0,0,second_lowest,TX
state_year_rank,29,2024.0,29,0,0,0,lowest,UT
state_year_rank,29,2024.0,29,0,0,0,second_lowest,UT
state_year_rank,72,2024.0,72,0,0,0,lowest,WI
state_year_rank,72,2024.0,72,0,0,0,second_lowest,WI
state_year_rank,55,2024.0,55,0,0,0,lowest,WV
state_year_rank,55,2024.0,55,0,0,0,second_lowest,WV
state_year_rank,23,2024.0,23,0,0,0,lowest,WY
state_year_rank,23,2024.0,23,0,0,0,second_lowest,WY
