top_two_selection_variant,exposure_universe,premium_variant,default_mapping_rule,year,state,selected_top_two_plan_pairs,zero_prior_plan_pairs,zero_to_positive_plan_pairs,across_zero_to_positive_plan_pairs,same_issuer_zero_to_positive_plan_pairs,candidate_prior_plans_with_across_turnover_not_in_current_top_two,county_years_where_alternative_top_two_adds_across,county_years_where_current_top_two_has_same_issuer_but_alternative_has_across,county_years_where_current_top_two_has_no_turnover_but_alternative_has_turnover,county_years_where_tie_handling_changes_across,county_years_where_standard_component_collapse_changes_across,county_years_where_rating_area_handling_changes_across,difference_vs_current_repo_rule,difference_vs_drake_anchor_if_available
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,TN,190,190,117,0,117,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,TX,508,508,320,6,314,0,0,,,0,0,0,0,-208
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,UT,58,33,13,0,13,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,VA,266,258,0,0,0,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,WI,144,133,59,2,57,0,0,,,0,0,0,0,-210
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,WV,110,76,1,0,1,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,current_repo_rule,2024,WY,46,46,46,0,46,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,AK,58,0,0,0,0,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,AL,134,134,21,0,21,0,0,,,0,0,0,0,-211
all_tied_lowest_or_second_lowest,exactly_two_plans,current_ehb_all_states,same_plan_if_available_else_source_order,2022,AR,150,150,150,0,150,0,0,,,0,0,0,0,-211
