source_group,year,file_type,source_page_url,direct_download_url,local_path,file_format,http_status,download_success,file_size_bytes,checksum_sha256,date_downloaded,notes
oep_puf,2025,Public Use Files Definitions PDF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2025-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/document/2025-public-use-files-definitions.pdf,data\raw\oep_puf\2025\2025-public-use-files-definitions.pdf,pdf,200,True,285018,33896316fe5f1b376f8a113b41d3f2889835f18eae02663640911b5977eda73c,2026-05-26T16:39:19+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2025,Public Use Files FAQs PDF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2025-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/document/2025-public-use-files-faqs.pdf,data\raw\oep_puf\2025\2025-public-use-files-faqs.pdf,pdf,200,True,172293,4a282d3cef02d3faf161fb078621852ef23ff2e931e61fea3c821b960f538684,2026-05-26T16:39:21+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2026,State-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2026-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/zip/2026-oep-state-level-public-use-file.zip,data\raw\oep_puf\2026\2026-oep-state-level-public-use-file.zip,zip,200,True,140039,11555f328f4df04f52b9c2c833bfb5710d50d48bbf45ef6c09d10274ef5cfefe,2026-05-26T16:39:24+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2026,"State, Metal Level, and Enrollment Status OEP PUF",https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2026-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/zip/2026-oep-state-metal-level-enrollment-status-public-use-file.zip,data\raw\oep_puf\2026\2026-oep-state-metal-level-enrollment-status-public-use-file.zip,zip,200,True,231379,9e2ac2dafb880670c7e54ccd6c5d2c558c257e43fbd0eebf94923b36fd68acff,2026-05-26T16:39:26+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2026,County-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2026-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/zip/2026-oep-county-level-public-use-file.zip,data\raw\oep_puf\2026\2026-oep-county-level-public-use-file.zip,zip,200,True,2083899,020e6531b06497f0d6abe9d107f1eca810a434b98da694bf26f6e734d85f81e9,2026-05-26T16:39:29+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2026,Public Use Files Definitions PDF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2026-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/document/2026-public-use-files-definitions.pdf,data\raw\oep_puf\2026\2026-public-use-files-definitions.pdf,pdf,200,True,293821,de1446045dd0bb5cdb4d103059dbf9e3f5c5ac02390680fddac3c05a1034c4d6,2026-05-26T16:39:32+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2026,Public Use Files FAQs PDF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2026-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/document/2026-public-use-files-faqs.pdf,data\raw\oep_puf\2026\2026-public-use-files-faqs.pdf,pdf,200,True,230790,7a6fb482ced2eb0f3f9ccdc7287ae5d3dfda98eb13be2e97cec2a7e04812ac0b,2026-05-26T16:39:35+00:00,Discovered from official CMS OEP PUF page.
exchange_puf,2019,Rate PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2019/rate-puf.zip,data\raw\exchange_puf\2019\rate-puf.zip,zip,200,True,12128641,4f58b1c7f56453d0bd7486488ebfc21695dc294f87ce2f272411aebe1bec1966,2026-05-26T16:39:38+00:00,Official CMS Exchange PUF direct URL pattern.
exchange_puf,2019,Plan Attributes PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2019/plan-attributes-puf.zip,data\raw\exchange_puf\2019\plan-attributes-puf.zip,zip,200,True,833850,b52b4d9448ec5c213e11d213facd758182743be216e95bf4634eefb495a76450,2026-05-26T16:39:44+00:00,Official CMS Exchange PUF direct URL pattern.
exchange_puf,2019,Service Area PUF,https://www.cms.gov/marketplace/resources/data/public-use-files,https://download.cms.gov/marketplace-puf/2019/service-area-puf.zip,data\raw\exchange_puf\2019\service-area-puf.zip,zip,200,True,57477,10b82f9f3b4e6528e21edd05d9694fc22bb4de52fef77afd1d55a896b9a697d7,2026-05-26T16:39:47+00:00,Official CMS Exchange PUF direct URL pattern.
